MutationType	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
A[Ins(T):R(0,4)]A	17	5	1	4	0	3	6	1	7	18	9	65	4	5	12	13	12	19	7	6	137	5	12	8	4	4	5	7	7	205	7	5	2	4	3	9	3	7	2	4	4	4	9	26	4	0	9	5	6	9	51	9	5	4	23	13	33	3	6	6	5	4	28	13	10	7	3	5	2	5	4	5	8	8	5	9	2	2	35	12	5	6	24	7	4	3	2	42	15	4	17	14	4	7	4	6	20	1	5	24	13	9	28	16	25	5	8	26	3	7	5	6	7	23	6	5	18	10	0	4	5	4	3	25	3	21	5	7	6	4	11	7	12	5	5	16	6	6	11	4	2	13	12	3	9	6	4	4	3	40	9	23	8	4	5	6	8	3	8	9	30	6	2	24	10	1	5	7	9	15	22	5	5	46	5	1	25	3	14	5	18	8	11	4	11	8	3	1	11	22	1	11	8	12	4	4	1	3	21	23	3	5	13	10	7	9	9	16	3	8	4	3	11	21	3	2	7	33	10	3	21	3	9	6	2	9	2	3	6	4	128	7	14	11	2	4	42	2	1	4	4	8	4	2	3	2	1	2	2	5	6	3	0	5	4	18	15	3	1	3	4	2	5	4	44	14	4	9	3	8	1	4	3	22	6	7	3	7	45	0	13	5	6	22	4	6	6	4	3	16	15	12	4	4	5	9	3	63	12	4	8	0	1	122	3	8	11	7	4	6	0	5	4	3	5	3	2	7	10	5	10	60	11	30	28	11	1	1	8	1	4	5	4
A[Ins(T):R(0,4)]C	5	2	1	1	0	1	0	1	1	5	5	6	2	6	4	4	3	8	2	3	59	4	3	3	1	0	3	2	3	185	2	1	0	2	0	6	3	2	3	1	0	5	2	7	0	0	1	0	1	2	22	2	2	2	5	2	7	0	2	1	0	0	5	6	0	1	3	1	2	3	0	0	0	4	4	0	2	3	12	6	3	2	13	2	2	2	0	3	1	2	4	10	4	2	1	1	28	1	1	19	3	6	9	3	17	2	5	11	3	2	0	1	3	5	3	2	10	1	0	1	0	3	0	12	2	7	3	2	2	0	1	2	6	0	1	2	3	0	6	2	0	3	3	0	5	1	1	2	3	6	5	1	1	0	3	2	0	2	2	0	10	2	2	6	2	1	1	2	1	7	8	0	3	22	1	1	6	0	2	0	3	8	1	1	3	6	0	0	3	4	2	2	3	5	1	3	0	0	9	8	1	2	1	1	2	5	1	4	3	5	0	2	3	2	1	4	2	14	5	1	1	2	1	1	1	0	3	0	2	2	65	2	15	6	0	0	6	0	2	1	1	1	2	1	2	1	2	0	4	2	0	2	1	0	4	5	4	1	1	1	2	0	1	0	10	7	0	2	0	4	2	1	4	8	2	3	1	1	17	0	2	0	1	6	2	0	4	4	2	2	0	5	2	2	2	3	0	11	5	1	2	0	0	9	1	4	3	6	4	4	0	2	1	2	14	1	3	1	2	0	1	19	1	3	8	3	0	1	1	1	2	4	0
A[Ins(T):R(0,4)]G	8	0	0	0	0	0	0	1	4	97	7	11	5	5	2	1	2	16	3	2	116	5	1	0	4	1	1	1	6	93	1	3	2	1	1	6	2	3	6	0	4	2	5	5	1	0	1	0	3	3	306	1	7	1	7	4	11	0	0	1	3	3	4	9	4	5	3	2	1	1	2	1	2	2	1	2	3	2	209	13	5	1	95	2	1	1	2	9	13	2	3	5	2	1	5	1	145	1	1	166	5	21	9	8	65	2	25	113	3	1	3	4	6	5	4	2	86	1	2	2	0	4	3	59	0	4	2	2	4	2	1	13	2	2	10	1	1	1	1	5	1	5	5	2	11	0	2	1	2	14	5	6	1	2	1	9	0	0	2	1	21	6	4	5	3	1	1	6	3	75	4	0	0	303	0	1	60	0	4	2	9	7	1	0	3	5	2	0	6	70	2	3	4	16	1	2	0	0	24	140	1	5	6	1	2	5	3	5	3	4	0	2	2	3	3	2	50	140	8	3	10	1	1	2	2	1	4	0	3	0	116	3	8	23	0	1	18	1	1	2	3	3	0	0	0	0	2	4	2	0	8	2	2	0	4	8	9	4	3	2	2	0	3	3	12	5	0	2	2	3	4	0	8	138	1	11	0	2	255	1	3	1	2	6	1	3	3	6	0	6	1	15	1	2	3	13	0	8	2	2	3	1	1	31	1	5	1	7	24	29	2	0	6	5	2	0	2	4	3	1	2	36	1	25	11	2	1	1	5	1	1	0	4
C[Ins(T):R(0,4)]A	24	3	0	0	0	2	0	4	3	12	5	10	3	5	6	3	8	10	0	3	55	1	5	2	3	0	0	2	4	163	2	0	0	2	0	5	2	5	3	1	4	2	7	4	24	1	3	1	1	3	42	1	3	5	10	4	5	2	2	0	0	4	3	8	1	3	3	5	2	4	1	4	2	3	6	5	3	4	26	7	3	2	26	4	4	3	4	3	4	2	4	5	2	5	5	0	14	2	2	22	5	10	11	2	10	1	8	7	2	2	0	9	2	9	4	4	24	5	4	3	1	1	2	9	1	4	1	2	2	1	4	5	2	3	4	4	9	0	3	1	1	5	4	8	6	2	0	5	0	11	3	5	4	0	1	13	5	1	4	1	5	2	2	3	1	0	1	3	4	10	4	1	1	49	1	0	10	2	3	1	4	8	3	0	4	4	0	2	5	9	2	4	2	9	1	0	0	0	11	18	1	9	2	1	4	2	3	2	1	5	0	1	4	5	0	0	4	16	5	4	11	0	2	6	0	1	0	1	4	0	49	1	10	9	0	1	9	1	0	4	2	4	1	3	5	1	1	0	2	5	5	0	2	0	4	4	7	2	3	1	1	0	4	1	4	4	0	2	0	6	1	0	0	18	2	3	2	3	43	2	4	1	3	1	7	6	3	5	0	0	4	3	6	0	2	7	2	9	2	3	4	1	3	86	0	3	1	5	5	8	1	0	1	3	5	2	0	1	0	2	0	17	2	3	1	2	4	0	3	1	1	4	0
C[Ins(T):R(0,4)]C	12	1	2	2	0	0	1	0	4	5	1	6	2	8	5	7	4	13	3	1	65	3	1	4	2	2	3	3	1	368	5	3	1	0	0	2	1	2	3	1	0	6	4	7	2	3	3	0	0	8	36	6	1	1	6	1	7	3	4	3	1	2	7	5	7	1	7	3	3	4	3	4	2	5	2	0	2	1	26	4	2	0	13	4	2	1	2	6	4	2	4	22	2	4	2	1	26	2	1	17	5	8	5	9	15	1	9	6	0	3	2	2	2	6	5	0	20	2	3	5	1	6	2	17	0	7	0	7	3	0	10	3	4	2	4	2	4	2	3	1	0	4	4	1	3	4	0	3	3	5	6	7	3	4	2	19	2	3	6	4	6	5	3	4	3	0	2	1	2	11	7	1	0	34	1	1	17	1	4	1	4	1	5	6	5	2	0	1	0	13	3	2	4	12	3	4	0	3	15	11	3	2	3	3	3	3	3	0	1	10	0	1	5	3	1	1	10	21	1	1	6	3	5	3	1	4	2	2	1	0	75	2	8	7	3	1	12	2	2	3	4	3	4	0	2	2	2	2	2	5	4	0	2	1	2	5	3	1	1	1	1	4	1	2	4	5	0	3	4	4	2	3	6	12	1	6	1	5	33	3	3	1	1	7	5	2	2	4	2	1	8	7	3	0	5	7	2	13	3	0	0	1	2	9	2	6	5	9	4	2	0	0	1	2	12	1	1	2	3	1	4	15	8	7	5	2	3	1	5	1	0	4	4
C[Ins(T):R(0,4)]G	27	1	1	3	0	0	1	1	5	85	8	3	1	4	2	4	7	16	2	1	117	6	3	2	1	1	1	1	5	247	3	1	1	2	0	3	5	2	3	1	3	3	5	3	6	0	1	1	1	2	328	4	4	1	3	1	6	0	2	2	0	1	5	2	1	3	3	1	0	1	0	3	1	0	0	2	0	1	207	5	0	0	94	2	1	3	2	4	3	2	3	8	2	5	4	2	154	3	2	194	6	21	11	1	73	1	31	116	3	2	1	1	3	11	5	0	79	3	3	4	0	1	0	59	3	8	1	1	1	0	10	12	3	1	4	2	4	2	4	1	1	4	6	3	8	1	0	2	2	13	0	2	4	2	1	19	2	0	4	1	4	3	0	5	4	3	1	6	2	68	7	0	2	343	2	1	63	0	6	2	2	3	3	3	4	4	1	1	2	91	2	5	3	21	1	2	0	2	13	135	0	2	5	4	5	1	0	4	6	8	2	2	3	8	0	0	42	162	3	0	8	4	1	3	3	1	4	2	5	0	111	4	4	34	0	0	8	0	3	2	2	4	1	0	4	2	1	3	5	3	8	1	1	1	2	4	6	1	2	2	0	0	2	1	4	4	1	2	3	2	3	2	0	133	1	7	3	1	286	0	5	2	4	0	3	2	2	3	0	0	3	11	1	3	1	6	2	7	4	0	5	0	5	39	3	4	0	2	15	36	1	5	1	2	1	0	2	2	6	2	1	30	2	5	5	3	3	1	4	0	2	1	1
G[Ins(T):R(0,4)]A	21	6	1	1	0	0	1	1	5	15	11	5	2	6	3	8	8	1	4	3	33	1	2	3	2	5	2	5	5	28	0	2	4	4	1	4	3	4	4	3	1	0	7	5	7	0	2	3	3	2	28	6	4	2	6	6	11	5	4	3	0	11	5	3	5	2	5	5	1	2	1	3	5	6	7	8	1	0	26	3	1	4	24	3	4	6	0	5	10	3	10	6	6	2	3	2	21	4	2	17	11	6	85	1	9	4	4	14	3	8	2	4	3	4	79	3	12	3	0	3	2	6	4	19	1	3	1	2	2	4	3	5	0	1	2	5	7	2	1	4	1	6	18	2	2	4	3	4	4	15	3	3	1	1	3	3	3	1	3	1	2	2	3	2	2	1	1	4	2	6	4	0	1	24	4	2	6	1	3	2	3	4	9	5	0	5	1	1	1	14	5	1	3	5	4	14	1	2	54	15	1	2	10	7	2	7	3	1	4	2	1	2	5	6	0	0	6	20	5	1	3	2	3	4	6	1	0	4	3	1	13	2	1	4	1	0	14	0	3	4	6	4	2	2	5	4	3	0	3	1	3	0	1	1	3	3	4	6	1	1	3	1	5	2	9	2	0	5	3	2	4	3	2	12	3	5	2	4	30	1	7	4	5	12	1	2	3	3	0	4	3	2	2	2	3	4	0	17	5	2	0	1	2	52	2	7	5	11	6	3	1	2	1	6	8	1	2	1	8	3	3	9	4	3	6	5	2	3	4	0	0	3	2
G[Ins(T):R(0,4)]C	16	0	0	0	0	0	0	1	2	12	17	4	1	1	3	2	1	5	0	0	18	1	1	1	0	2	2	0	3	59	0	0	0	1	1	5	2	1	1	0	0	0	1	3	1	0	1	0	1	0	18	1	1	1	2	2	0	0	1	1	2	0	5	2	2	2	1	1	2	2	2	1	0	1	1	2	2	0	12	3	0	1	9	0	0	0	0	1	2	1	6	2	0	1	0	1	6	0	0	14	9	2	81	2	5	0	0	7	1	1	0	0	1	2	95	0	7	1	2	1	1	1	4	7	0	1	1	0	1	1	2	1	0	0	1	3	1	0	2	1	0	2	17	2	1	1	0	1	3	9	0	3	0	0	0	2	3	0	1	0	1	3	1	2	0	1	2	0	0	4	1	0	2	27	1	0	4	0	0	0	1	1	2	0	0	0	0	0	1	6	1	1	3	1	1	3	0	1	12	11	1	3	2	3	1	1	0	3	1	1	1	0	2	1	1	0	2	6	1	2	2	1	1	1	0	0	0	0	1	0	16	1	1	3	0	0	8	0	1	2	0	1	2	1	1	0	0	2	2	0	0	0	0	0	4	0	2	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	9	1	3	0	1	13	1	1	3	0	3	0	0	1	1	0	1	0	1	0	1	3	2	1	5	0	0	0	0	1	6	1	1	2	1	1	3	1	0	0	1	8	0	1	1	1	0	1	10	2	3	2	0	0	0	0	0	3	0	2
G[Ins(T):R(0,4)]G	21	2	0	1	0	0	0	2	1	82	20	7	0	2	4	3	6	12	2	3	121	5	1	0	2	13	3	7	5	77	3	0	1	2	0	5	4	1	3	2	1	3	2	8	3	0	4	0	1	3	279	4	8	0	4	4	4	2	0	0	0	2	19	3	2	1	5	5	3	2	8	1	1	7	3	1	2	0	179	1	1	1	74	1	1	0	2	5	1	2	7	9	4	0	4	3	150	1	5	183	20	14	134	0	52	0	21	90	1	1	1	0	3	14	128	4	83	2	3	2	0	5	8	46	1	13	0	1	3	3	1	8	2	2	1	5	4	3	2	2	0	4	32	0	5	0	1	1	1	26	3	7	1	0	2	9	3	2	1	1	4	21	2	6	5	2	1	0	1	67	13	3	0	289	1	2	44	1	2	1	3	4	2	0	3	6	0	1	1	55	3	6	2	17	4	2	0	2	21	141	7	6	3	5	5	2	2	5	5	3	2	0	2	3	1	0	39	98	6	3	3	5	4	2	0	2	2	4	2	0	78	0	10	31	0	0	16	2	0	0	4	2	0	2	2	4	1	2	3	7	7	0	1	1	1	2	6	1	1	3	2	0	3	1	6	3	0	3	1	2	1	2	3	137	3	9	1	1	217	3	1	1	0	15	1	1	7	5	0	8	7	6	0	3	3	8	0	14	4	1	0	1	0	15	2	3	9	5	18	25	2	0	3	5	9	1	1	3	4	5	3	40	4	2	5	2	4	0	3	1	0	0	1
A[Ins(T):R(5,7)]A	31	3	1	2	0	0	0	4	14	15	10	46	12	6	7	4	29	103	3	3	969	21	20	6	5	0	7	23	16	511	13	0	2	4	0	13	3	21	23	4	4	9	13	44	4	2	1	1	9	32	20	4	6	1	15	10	44	0	3	1	6	0	51	26	20	7	4	7	7	1	1	8	1	18	6	13	4	5	40	28	3	3	20	3	1	3	3	37	4	2	25	45	16	1	10	3	16	4	5	15	21	28	42	24	30	5	15	25	4	12	0	1	15	11	14	4	11	18	0	4	0	7	5	13	2	63	2	16	5	3	14	5	14	11	2	36	9	8	27	5	2	43	25	2	23	9	0	1	18	68	19	43	10	1	4	26	9	6	6	14	34	5	9	55	9	2	3	15	3	11	62	4	2	22	4	3	49	4	24	1	16	15	3	2	34	10	0	0	16	44	4	10	9	15	5	20	1	3	47	8	2	3	4	25	10	15	15	28	4	10	1	4	25	15	0	6	4	19	16	3	37	6	8	16	5	4	14	2	11	3	696	11	26	16	0	1	61	2	0	5	8	12	6	9	3	1	0	0	1	26	10	3	2	4	3	30	37	7	2	0	2	1	30	5	42	22	3	14	2	3	1	7	9	10	0	25	4	7	68	2	17	5	8	52	6	13	3	1	1	35	69	14	3	2	5	42	4	48	15	2	2	2	5	0	5	18	26	16	19	9	4	15	1	6	31	1	0	36	18	3	23	260	41	29	35	22	16	0	20	2	5	3	7
A[Ins(T):R(5,7)]C	43	5	1	1	0	0	2	1	24	17	11	42	10	5	8	7	34	86	4	9	514	26	18	6	12	3	10	13	17	422	19	1	7	5	0	19	1	16	24	7	5	10	7	56	3	7	2	2	6	25	21	2	5	4	19	13	43	2	5	1	8	0	57	28	23	9	2	9	5	0	1	6	2	13	5	11	5	3	49	25	3	2	18	6	1	2	2	45	13	2	23	37	12	3	8	5	25	7	2	15	23	31	44	32	30	4	19	31	2	8	1	1	16	17	13	3	14	16	1	8	4	5	5	9	5	54	5	15	6	4	11	6	9	5	9	33	22	5	16	1	6	34	22	2	23	4	0	1	17	91	26	44	6	1	2	13	13	3	1	13	30	6	14	45	15	5	6	9	9	7	55	5	3	21	3	8	59	1	42	1	21	22	6	7	24	13	3	1	20	53	0	3	16	17	18	17	1	3	58	9	8	2	12	34	4	20	16	23	4	7	2	4	27	28	1	4	15	24	23	5	32	18	5	25	5	8	16	3	6	2	618	12	35	14	0	5	44	3	3	3	4	8	11	6	5	2	2	0	6	17	14	3	2	4	4	41	42	5	2	2	2	3	18	2	43	25	6	10	2	6	5	9	9	9	0	11	2	14	83	1	15	8	14	34	8	22	6	4	2	36	78	22	3	2	7	57	5	47	11	1	5	1	2	5	6	23	38	11	37	6	5	13	4	3	23	1	1	30	26	1	27	170	25	30	38	16	6	0	21	2	2	6	8
A[Ins(T):R(5,7)]G	42	2	3	1	0	0	3	4	21	39	9	27	14	4	9	12	34	114	6	7	775	28	20	6	11	1	9	16	20	575	23	0	4	6	2	17	3	20	22	4	1	15	13	55	2	2	8	1	12	23	67	7	11	2	15	14	61	3	2	1	5	1	59	23	26	7	2	10	5	4	0	9	9	15	4	17	4	0	66	30	5	3	23	8	2	3	5	40	13	3	32	50	13	10	7	7	42	7	4	33	14	36	48	30	34	3	25	58	3	10	2	0	19	17	20	1	21	28	1	5	0	8	5	25	3	69	2	15	7	3	7	10	18	14	7	27	14	2	16	2	1	39	18	2	28	6	1	2	6	58	24	46	8	0	2	34	14	1	1	9	37	9	22	39	14	3	5	12	10	21	66	3	1	78	3	2	49	1	29	4	18	19	11	5	39	10	0	0	18	65	8	8	19	21	7	7	1	2	49	23	9	1	13	31	8	13	17	18	2	15	3	2	24	25	1	5	23	57	17	6	34	10	9	25	6	7	19	4	13	2	839	9	35	13	2	4	47	4	4	2	10	15	6	5	0	1	5	3	2	20	4	5	0	8	5	38	42	9	0	1	3	1	23	1	54	23	2	12	1	3	1	5	7	25	2	13	1	10	115	2	12	4	9	41	11	28	6	8	3	43	51	16	2	4	4	47	3	33	17	4	5	3	6	6	7	21	17	9	44	6	4	14	1	3	25	2	1	39	30	4	28	245	22	25	43	22	5	2	14	0	2	13	4
C[Ins(T):R(5,7)]A	12	2	0	0	0	0	2	0	11	7	3	22	2	0	1	5	16	34	4	1	447	4	9	0	4	0	2	6	11	239	9	1	0	1	0	9	3	13	9	0	1	13	6	35	1	1	0	0	1	11	16	2	0	1	11	10	22	0	2	0	2	1	42	20	10	1	1	7	3	2	0	1	0	4	2	5	2	2	19	20	0	4	8	4	1	4	1	19	9	3	7	15	4	5	5	1	2	0	2	13	12	11	26	12	12	3	6	13	0	5	2	1	4	2	11	2	4	19	0	2	0	2	2	6	1	24	2	8	2	2	10	5	4	2	2	13	8	2	7	1	1	17	14	0	11	4	1	0	7	30	10	11	2	1	2	6	4	0	2	5	24	5	9	28	5	1	1	2	6	8	24	1	1	9	0	3	30	0	14	2	7	12	4	4	13	5	0	0	6	19	3	2	5	6	5	7	1	1	19	6	6	2	4	7	3	9	7	11	2	6	2	0	13	13	2	0	8	15	10	6	23	10	2	7	1	2	5	0	2	0	283	11	26	5	2	1	34	2	2	0	1	5	1	1	0	0	1	0	2	4	9	5	1	0	5	16	20	1	0	0	1	0	23	2	38	11	2	5	1	2	0	3	4	6	2	14	2	8	36	1	8	6	5	28	4	8	1	2	1	21	41	9	1	1	2	21	0	26	4	0	1	1	1	4	2	9	18	4	15	6	0	4	1	2	12	0	0	11	8	6	15	125	18	10	30	8	7	0	10	1	0	4	4
C[Ins(T):R(5,7)]C	24	1	0	0	1	0	0	5	7	10	6	30	4	5	6	4	23	43	2	2	277	12	12	3	2	1	4	12	10	276	8	1	1	3	0	16	0	12	10	6	1	6	11	31	2	0	1	0	4	11	22	1	4	1	7	5	28	0	0	0	1	0	30	8	12	5	0	3	1	6	0	5	2	9	1	9	3	3	26	14	1	5	11	1	4	1	0	26	4	4	15	13	7	1	2	4	10	3	1	7	14	14	23	25	15	2	8	22	1	9	1	0	8	11	8	3	11	13	0	6	0	5	3	10	3	40	1	4	2	0	7	4	8	6	5	13	11	4	9	1	2	19	11	1	11	2	2	2	6	42	8	27	2	0	3	15	7	2	2	4	14	0	6	18	8	3	1	10	7	9	39	0	3	20	2	1	20	1	24	0	9	16	3	1	12	3	0	1	13	20	3	3	9	11	4	5	0	4	40	14	4	4	4	14	3	8	13	10	3	8	1	1	18	16	1	4	6	13	16	3	20	4	5	15	6	3	6	0	3	0	313	7	15	7	1	0	26	0	1	2	4	4	3	4	1	0	1	2	0	8	7	3	1	1	1	21	22	4	1	1	0	2	5	0	26	17	4	9	3	0	1	2	5	13	1	9	0	3	41	0	11	4	6	24	2	8	4	5	0	16	37	9	1	3	7	41	0	13	5	2	1	0	4	2	3	12	17	7	16	1	3	6	1	3	14	1	2	17	15	3	16	102	15	14	21	5	5	2	17	1	0	4	2
C[Ins(T):R(5,7)]G	22	4	1	2	0	2	0	1	9	10	9	15	1	3	9	4	16	70	1	5	380	9	8	6	5	1	2	8	14	306	7	1	1	2	0	10	1	9	9	3	1	9	6	28	1	1	0	1	4	9	22	1	10	2	16	8	24	1	0	1	1	0	41	15	12	7	2	12	3	2	0	3	1	10	4	8	4	0	29	9	1	2	13	6	1	2	0	19	6	2	12	15	5	2	6	3	21	5	4	22	10	4	23	13	18	2	7	24	2	5	1	1	13	6	7	2	15	13	0	2	1	3	0	13	2	41	0	13	5	1	7	3	5	3	3	21	11	1	11	4	0	15	16	1	14	4	0	1	6	39	15	24	5	1	0	16	5	1	4	6	20	4	6	18	6	4	3	2	6	10	40	0	2	30	1	0	34	0	18	1	13	10	4	4	9	7	0	1	10	33	3	6	6	15	5	5	1	1	31	10	3	3	4	10	6	12	9	22	2	12	1	3	12	16	3	4	6	22	9	5	17	4	4	7	1	1	7	0	4	2	408	13	15	6	0	0	24	0	0	3	5	4	2	4	1	1	1	0	1	8	8	1	0	2	2	21	18	3	1	3	1	1	11	1	23	18	1	4	0	2	4	4	5	13	0	14	1	3	74	2	7	2	2	22	5	7	4	1	0	15	32	11	0	1	6	33	1	16	7	0	5	0	3	4	5	13	9	4	15	7	1	3	2	2	12	2	1	15	13	5	8	149	4	9	25	5	6	1	14	1	2	6	9
G[Ins(T):R(5,7)]A	15	3	0	0	0	0	1	1	4	9	8	14	1	0	4	5	15	53	0	6	417	10	8	4	1	0	1	9	7	267	8	1	1	1	0	5	1	9	7	0	0	2	6	26	2	1	2	0	4	12	14	1	1	0	4	5	21	1	0	1	1	0	22	7	12	0	0	5	3	2	2	5	2	5	1	3	3	0	14	10	2	0	6	1	2	1	0	19	2	0	17	20	5	2	1	1	8	2	0	12	9	12	24	10	20	1	2	4	2	3	0	0	5	5	11	3	2	13	0	2	0	3	2	3	1	32	0	8	3	2	2	3	6	4	1	15	13	6	14	2	1	19	14	0	14	4	0	0	5	36	14	20	1	0	0	11	6	1	1	4	22	4	4	25	2	3	1	4	8	4	32	3	2	9	1	0	17	0	10	1	9	6	5	1	18	3	1	0	7	15	3	3	8	2	3	5	0	3	21	6	5	2	6	8	2	6	7	7	0	7	0	0	8	17	1	2	4	13	5	1	12	2	2	7	1	7	4	0	3	0	288	3	9	4	0	0	29	0	0	0	1	6	3	1	0	0	1	0	1	4	3	4	0	0	1	15	20	4	0	1	0	1	15	1	29	14	3	8	1	1	1	1	3	4	1	8	3	4	40	0	9	1	3	21	2	8	4	1	0	19	21	5	0	0	1	20	1	22	5	1	2	1	1	3	6	5	6	3	4	5	0	7	0	1	13	1	0	13	8	2	8	97	15	6	21	14	6	0	12	0	2	9	3
